epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
6.2,1,0,0,0,0.003037691,1,0,0,0,0.022006273,1,0,0,0,0.032006741
6.3,1,0,0,0,0.003000021,1,0,0,0,0.018968105,1,0,0,0,0.030045986
6.4,1,0,0,0,0.003000259,1,0,0,0,0.020035982,1,0,0,0,0.031003237
6.5,1,0,0,0,0.00300622,1,0,0,0,0.021996021,1,0,0,0,0.028032303
6.6,1,0,0,0,0.003000736,1,0,0,0,0.019001484,1,0,0,0,0.030002832
6.7,1,0,0,0,0.003000021,1,0,0,0,0.018982172,1,0,0,0,0.030006886
6.8,1,0,0,0,0.001999855,1,0,0,0,0.022001266,1,0,0,0,0.02900219
6.9,1,0,0,0,0.002999544,1,0,0,0,0.019002438,1,0,0,0,0.030002594
7,1,0,0,0,0.003001451,1,0,0,0,0.021001339,1,0,0,0,0.030995369
7.1,1,0,0,0,0.002000332,1,0,0,0,0.020971775,1,0,0,0,0.029035807
7.2,1,0,0,0,0.003001451,1,0,0,0,0.02000165,1,0,0,0,0.031002998
7.3,1,0,0,0,0.003000021,1,0,0,0,0.021002531,1,0,0,0,0.02903986
7.4,1,0,0,0,0.003036737,1,0,0,0,0.021002293,1,0,0,0,0.029004812
7.5,1,0,0,0,0.00200057,1,0,0,0,0.019964218,1,0,0,0,0.029046774
7.6,1,0,0,0,0.002958536,1,0,0,0,0.019038677,1,0,0,0,0.030003548
7.7,1,0,0,0,0.003000259,1,0,0,0,0.019001722,1,0,0,0,0.085031033
7.8,1,0,0,0,0.003001213,1,0,0,0,0.018942833,1,0,0,0,0.02804184
7.9,1,0,0,0,0.003000736,1,0,0,0,0.013001204,1,0,0,0,0.027999401
8,1,0,0,0,0.00299859,1,0,0,0,0.016998529,1,0,0,0,0.026999235
8.1,1,0,0,0,0.00299859,1,0,0,0,0.020998716,1,0,0,0,0.029035091
8.2,1,0,0,0,0.001989603,1,0,0,0,0.018998861,1,0,0,0,0.02899909
8.3,1,0,0,0,0.003000498,1,0,0,0,0.014000416,1,0,0,0,0.026990175
8.4,1,0,0,0,0.002996683,1,0,0,0,0.020962477,1,0,0,0,0.027028322
8.5,1,0,0,0,0.002957344,1,0,0,0,0.019027233,1,0,0,0,0.027001858
8.6,1,0,0,0,0.001999855,1,0,0,0,0.016005993,1,0,0,0,0.02699852
8.7,1,0,0,0,0.002962351,1,0,0,0,0.0180583,1,0,0,0,0.028940439
8.8,1,0,0,0,0.002935171,1,0,0,0,0.018057823,1,0,0,0,0.029997826
8.9,1,0,0,0,0.002999306,1,0,0,0,0.018975258,1,0,0,0,0.027997494
