,AMIS_db,AMIS_dbp_kg,AMIS_dbp_uni,ARAND_db,ARAND_dbp_kg,ARAND_dbp_uni,Exec_time_db,Exec_time_dbp_kg,Exec_time_dbp_uni,epsilon,n_clusters_db,n_clusters_dbp_kg,n_clusters_dbp_uni,n_noise_db,n_noise_dbp_kg,n_noise_dbp_uni
0,0.1062606059570665,0.0,0.010238724017191038,0.0017444281525345307,0.0,0.00014325748819046642,0.02481555938720703,37.384838581085205,0.20432162284851074,250,14.0,0.0,2.0,1811.0,2000.0,1978.0
1,0.1547004193365036,0.0,0.014302409027026813,0.005512978409895953,0.0,0.00011754965611409999,0.025232553482055664,37.41963505744934,0.21678781509399414,260,12.0,0.0,2.0,1713.0,2000.0,1978.0
2,0.19927091541300787,0.018236248457995003,0.026663314013684932,0.01357602585218984,0.00020445117701047347,0.00034143632745237167,0.02544546127319336,37.01782727241516,0.20494961738586426,270,15.0,2.0,3.0,1542.0,1976.0,1963.0
3,0.21811043179319503,0.025330644737294395,0.020861212249140684,0.023990392968955263,0.00033476264391274057,0.000414790896833093,0.02600717544555664,37.03647518157959,0.22489190101623535,280,19.0,3.0,2.0,1363.0,1961.0,1976.0
4,0.14869617262772164,0.02798080847659939,0.04015765350844591,0.032206239058829786,0.0003972216839055674,0.00041129895318259415,0.02726435661315918,37.098692178726196,0.22307753562927246,290,17.0,3.0,5.0,1139.0,1958.0,1942.0
5,0.1334622686037627,0.05175786566702148,0.09990422663197271,0.051655146875533554,0.0009936551973497522,0.002570061774405566,0.027433395385742188,36.93735194206238,0.23542380332946777,300,12.0,6.0,11.0,906.0,1921.0,1812.0
6,0.09099184497204389,0.06527778596454015,0.10102674908464856,0.02363875341262334,0.0011517441448982858,0.0019942738416838055,0.028233766555786133,36.94443941116333,0.24738335609436035,310,13.0,8.0,11.0,700.0,1895.0,1786.0
7,0.06775472249729245,0.08773389596905738,0.13611795355391673,0.016903877128943617,0.0020444346739629856,0.007733348483282325,0.029358863830566406,36.94128894805908,0.2640190124511719,320,9.0,11.0,14.0,508.0,1845.0,1658.0
8,0.05148202867148364,0.11353536130939755,0.1785196717685755,0.00701354423713465,0.0029845746122066923,0.03938702277212527,0.030325889587402344,36.861815214157104,0.29111671447753906,330,8.0,16.0,9.0,350.0,1778.0,1429.0
9,0.03168029431207314,0.14618493664904375,0.08847396565680808,0.0051265666057106534,0.005972507389656173,0.018471514672723274,0.031267642974853516,37.58702063560486,0.2759056091308594,340,3.0,21.0,9.0,243.0,1686.0,1449.0
10,0.006380534553714512,0.1661506454254848,0.20254104091333042,0.0012127566621854418,0.007507818918548365,0.029262011726926666,0.03167271614074707,37.471962451934814,0.27852463722229004,350,1.0,23.0,14.0,161.0,1590.0,1390.0
11,0.008511933527344214,0.1851224120023903,0.16622807777503032,0.0010871085823205232,0.00811075292740217,0.04000181994342343,0.03246259689331055,37.454673051834106,0.28983163833618164,360,1.0,27.0,14.0,121.0,1499.0,1182.0
12,0.0024901915004150134,0.19536630243242362,0.09150655110857556,0.00021602695293824995,0.013848546011862731,0.007665192333198507,0.03354835510253906,37.50395917892456,0.30854344367980957,370,1.0,27.0,9.0,79.0,1379.0,1147.0
13,0.0008217211504156191,0.12713748691558824,0.045558247640540436,4.169245252684171e-05,0.013828868464025769,0.013262207470131413,0.03451228141784668,37.39819860458374,0.30422544479370117,380,1.0,23.0,6.0,47.0,1255.0,988.0
14,0.00019405956105225707,0.14468878690503847,0.21405704106411144,7.1771518798512166e-06,0.023373593466555088,0.07557963289587832,0.035092830657958984,37.391239166259766,0.299785852432251,390,1.0,23.0,10.0,28.0,1082.0,952.0
15,0.0006576625972903949,0.15194986470342586,0.029952574000187176,1.653796252496472e-05,0.029115140745595954,0.0029820728947379995,0.03610968589782715,37.51844930648804,0.3310244083404541,400,1.0,21.0,5.0,24.0,974.0,878.0
16,0.00046678115182964607,0.1347775320467709,0.020577160762139203,8.20703169519767e-06,0.025175652950864227,0.008290191331184827,0.0369110107421875,38.97113347053528,0.3429989814758301,410,1.0,16.0,2.0,16.0,866.0,808.0
17,-5.344428292324064e-05,0.068435752158175,0.008025700660462837,7.270041789492784e-07,0.012883088590992953,0.003189475431824561,0.03893089294433594,39.15071201324463,0.38755178451538086,420,1.0,8.0,2.0,11.0,758.0,696.0
18,-0.0007461270780117958,0.06580125361650045,0.02641604261943381,-5.329194373139374e-06,0.00814654086452067,0.003979496722468292,0.04167509078979492,38.286149740219116,0.3939995765686035,430,1.0,8.0,4.0,9.0,615.0,620.0
19,-0.001106625188453475,0.05826914283566342,0.0023259734623219904,-6.0069658106242765e-06,0.008185110043737306,0.0017067872254723363,0.041937828063964844,38.26956915855408,0.4194974899291992,440,1.0,6.0,1.0,7.0,521.0,589.0
20,-0.001106625188453475,0.010202255356203182,0.012110702336315919,-6.0069658106242765e-06,0.0016744880326145658,0.00854454822802027,0.04142928123474121,38.99949812889099,0.4159252643585205,450,1.0,2.0,1.0,7.0,416.0,553.0
21,0.00028826792823471715,0.0023676236737915322,0.02275362454373423,6.710101857990229e-07,0.0010851201694177472,0.006688824507289519,0.04305100440979004,38.99895763397217,0.39461588859558105,460,1.0,1.0,2.0,3.0,368.0,522.0
22,0.00028826792823471715,0.003371802733620894,0.013004103382260766,6.710101857990229e-07,0.001270320473855053,0.007323390733736948,0.043657779693603516,38.26189565658569,0.44617629051208496,470,1.0,1.0,1.0,3.0,311.0,424.0
