Time,f_micro,f_macro,f_weighted,adj_rand,adj_mut,eps,minp,queries
0.10571599006652832,0.0,0.0,0.0,0.0,0.0,0.1,6,150
0.11170196533203125,0.0,0.0,0.0,0.0,0.0,0.15,6,150
0.12067747116088867,0.0,0.0,0.0,0.03522587848266015,0.15582465340295398,0.2,6,150
0.13161993026733398,0.0,0.0,0.0,0.08618020867324315,0.24039598456899103,0.25,6,150
0.13962554931640625,0.0,0.0,0.0,0.2545472026591306,0.40920566007088527,0.3,6,150
0.14960050582885742,0.0,0.0,0.0,0.4556806289204896,0.5610753891261663,0.35,6,150
0.15655279159545898,0.0,0.0,0.0,0.4719110458345387,0.5587488935598243,0.4,6,150
0.16456055641174316,0.21333333333333337,0.12903225806451613,0.17204301075268816,0.4732156949398656,0.5341724728327109,0.45,6,150
0.1685774326324463,0.22666666666666666,0.13385826771653545,0.17847769028871394,0.5041909803294834,0.5700661788259136,0.485,6,150
0.16957306861877441,0.22666666666666666,0.1328125,0.17708333333333334,0.5099775744110047,0.5770124740422191,0.495,6,150
0.17550277709960938,0.22666666666666666,0.1328125,0.17708333333333334,0.5099775744110047,0.5770124740422191,0.5,6,150
0.18949341773986816,0.28,0.15217391304347827,0.2028985507246377,0.5299637933107492,0.6162312414524296,0.6,6,150
0.19148802757263184,0.3,0.1595744680851064,0.2127659574468085,0.5346315032167204,0.6263218090910309,0.62,6,150
0.196502685546875,0.30666666666666664,0.16083916083916086,0.2144522144522145,0.551005126016069,0.6639505863545649,0.65,6,150
0.20046496391296387,0.30666666666666664,0.1597222222222222,0.21296296296296297,0.5539307406661101,0.6722716363297,0.68,6,150
0.20246100425720215,0.30666666666666664,0.1597222222222222,0.21296296296296297,0.5539307406661101,0.6722716363297,0.7,6,150
0.21340203285217285,0.31333333333333335,0.15986394557823128,0.2131519274376417,0.5621364251426576,0.708169305695775,0.8,6,150
0.24437332153320312,0.3333333333333333,0.2222222222222222,0.22222222222222218,0.5681159420289855,0.7315847607219572,1.0,6,150
0.24135494232177734,0.3333333333333333,0.2222222222222222,0.22222222222222218,0.5681159420289855,0.7315847607219572,1.2,6,150
0.2503328323364258,0.3333333333333333,0.2222222222222222,0.22222222222222218,0.5681159420289855,0.7315847607219572,1.5,6,150
0.24930667877197266,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,1.7,6,150
0.2463397979736328,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,1.8,6,150
0.2403573989868164,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,2.0,6,150
0.23636984825134277,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,2.2,6,150
0.23536944389343262,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,2.3,6,150
