Time,f_micro,f_macro,f_weighted,adj_rand,adj_mut,eps,minp,queries
0.028888940811157227,0.0,0.0,0.0,0.0,0.0,0.1,6,15
0.027896642684936523,0.0,0.0,0.0,0.0,0.0,0.15,6,15
0.02792501449584961,0.0,0.0,0.0,0.0,0.0,0.2,6,15
0.027925491333007812,0.0,0.0,0.0,0.0,0.0,0.25,6,15
0.028421878814697266,0.0,0.0,0.0,0.019567022057461303,0.1512968636549968,0.3,6,15
0.02692723274230957,0.0,0.0,0.0,0.025555542648715807,0.12899120651781112,0.35,6,15
0.026928186416625977,0.0,0.0,0.0,0.08068568520815447,0.3095644835326422,0.4,6,15
0.02593064308166504,0.0,0.0,0.0,0.11456075489741549,0.3367019624390059,0.45,6,15
0.026927709579467773,0.0,0.0,0.0,0.30480514828066935,0.4678697228349579,0.485,6,15
0.02689981460571289,0.0,0.0,0.0,0.11106744034361853,0.33744540047474353,0.495,6,15
0.026927709579467773,0.0,0.0,0.0,0.1568172204853536,0.3745486955189584,0.5,6,15
0.026927709579467773,0.026666666666666672,0.025974025974025972,0.03463203463203463,0.3233021186057846,0.43566322881100994,0.6,6,15
0.026927471160888672,0.04,0.027906976744186046,0.046511627906976744,0.26121689418293237,0.420738861704246,0.62,6,15
0.02692723274230957,0.0,0.0,0.0,0.22845849916488745,0.4012114933765982,0.65,6,15
0.026927709579467773,0.013333333333333336,0.009876543209876543,0.016460905349794237,0.3174459006745439,0.451171151940801,0.68,6,15
0.026926755905151367,0.006666666666666668,0.004830917874396135,0.00966183574879227,0.3287796110571911,0.5003044528155115,0.7,6,15
0.026927471160888672,0.006666666666666668,0.005333333333333334,0.00888888888888889,0.21161475717497205,0.42173227319309553,0.8,6,15
0.027193069458007812,0.06666666666666667,0.035842293906810034,0.07168458781362007,0.33612407176184533,0.4586315714008659,1.0,6,15
0.026928186416625977,0.0,0.0,0.0,0.32170086393876146,0.45354512923530865,1.2,6,15
0.025930166244506836,0.0,0.0,0.0,0.4101938848224473,0.5574263781549761,1.5,6,15
0.026928186416625977,0.29333333333333333,0.17054263565891473,0.22739018087855295,0.3118695740504224,0.4136641748687306,1.7,6,15
0.02692723274230957,0.0,0.0,0.0,0.31655306330972804,0.47122033980780476,1.8,6,15
0.026926755905151367,0.23333333333333334,0.14957264957264957,0.19943019943019943,0.3695030071025793,0.4469769051218644,2.0,6,15
0.028922319412231445,0.0,0.0,0.0,0.22547845372621747,0.35152825801388415,2.2,6,15
0.04588580131530762,0.29333333333333333,0.1981981981981982,0.26426426426426425,0.41239797061661104,0.4778354214978718,2.3,6,15
