Epsilon,TIME_DB_ANN,ARAND_DB_ANN,AMIS_DB_ANN,TIME_DBPK_ANN,ARAND_DBPK_ANN,AMIS_DBPK_ANN,TIME_DBPK,ARAND_DBPK,AMIS_DBPK,TIME_DB,ARAND_DB,AMIS_DB
0.01,0.23794174194335938,0.0,3.074785202024547e-16,0.24891996383666992,0.0,3.074785202024547e-16,0.5914115905761719,0.0,3.074785202024547e-16,0.5756809711456299,0.0,3.074785202024547e-16
0.060000000000000005,0.22698712348937988,0.0,3.074785202024547e-16,0.23697900772094727,0.0,3.074785202024547e-16,0.8291757106781006,0.0,3.074785202024547e-16,0.8622269630432129,0.0,3.074785202024547e-16
0.11,0.23437929153442383,0.0,3.074785202024547e-16,0.22533249855041504,0.0,3.074785202024547e-16,1.0666146278381348,0.0,3.074785202024547e-16,0.969738245010376,0.0,3.074785202024547e-16
0.16000000000000003,0.21423959732055664,0.0,3.074785202024547e-16,0.22291111946105957,0.0,3.074785202024547e-16,1.3002536296844482,0.0,3.074785202024547e-16,1.234370231628418,0.0,3.074785202024547e-16
0.21000000000000002,0.22864413261413574,0.0,3.074785202024547e-16,0.2590148448944092,0.0,3.074785202024547e-16,1.5979969501495361,0.0,3.074785202024547e-16,1.7866730690002441,0.0,3.074785202024547e-16
0.26,0.21841931343078613,0.0,3.074785202024547e-16,0.22092247009277344,0.0,3.074785202024547e-16,1.6463029384613037,0.0,3.074785202024547e-16,1.6015915870666504,0.0,3.074785202024547e-16
0.31000000000000005,0.1895155906677246,0.0,3.074785202024547e-16,0.18447613716125488,0.0,3.074785202024547e-16,1.8046190738677979,0.0,3.074785202024547e-16,1.8248133659362793,0.0,3.074785202024547e-16
0.36000000000000004,0.1805098056793213,0.0,3.074785202024547e-16,0.17456984519958496,0.0,3.074785202024547e-16,2.009406089782715,0.0,3.074785202024547e-16,1.9984776973724365,0.0,3.074785202024547e-16
0.41000000000000003,0.18342018127441406,0.0,3.074785202024547e-16,0.17951321601867676,0.0,3.074785202024547e-16,2.1662402153015137,0.0,3.074785202024547e-16,2.258739709854126,0.0,3.074785202024547e-16
0.46,0.18009495735168457,0.0,3.074785202024547e-16,0.18150806427001953,0.0,3.074785202024547e-16,2.357271432876587,0.0,3.074785202024547e-16,2.675931930541992,0.0,3.074785202024547e-16
0.51,0.22993254661560059,0.0,3.074785202024547e-16,0.22539067268371582,0.0,3.074785202024547e-16,2.9308371543884277,0.0,3.074785202024547e-16,3.039402484893799,0.0,3.074785202024547e-16
0.56,0.21741056442260742,0.0,3.074785202024547e-16,0.27496910095214844,0.0,3.074785202024547e-16,3.4308860301971436,0.0,3.074785202024547e-16,3.624028444290161,0.0,3.074785202024547e-16
0.6100000000000001,0.2223982810974121,0.0,3.074785202024547e-16,0.21352863311767578,0.0,3.074785202024547e-16,3.459782123565674,0.0,3.074785202024547e-16,2.955634832382202,0.0,3.074785202024547e-16
0.66,0.18023133277893066,0.006953725101473038,0.08432810446697586,0.1771855354309082,0.0,3.074785202024547e-16,3.149763345718384,0.006953725101473038,0.08432810446697586,3.3828327655792236,0.006953725101473038,0.08432810446697586
0.7100000000000001,0.19347763061523438,0.012824584649520543,0.13804665558013687,0.189530611038208,0.0,3.074785202024547e-16,3.21682071685791,0.012824584649520543,0.13804665558013687,3.243913412094116,0.012824584649520543,0.13804665558013687
0.76,0.1840958595275879,0.030202582131418992,0.20779708616642156,0.1799788475036621,0.0,3.074785202024547e-16,3.289990186691284,0.030202582131418992,0.20779708616642156,3.5392045974731445,0.030202582131418992,0.20779708616642156
0.81,0.17859697341918945,0.04008340060298548,0.16852632924579697,0.18047618865966797,0.0,3.074785202024547e-16,3.429905414581299,0.04087948364674324,0.17014907943171698,3.9039926528930664,0.04087948364674324,0.17014907943171698
0.8600000000000001,0.2104015350341797,0.05735698754849558,0.205204202277406,0.21127533912658691,0.0,3.074785202024547e-16,4.147838115692139,0.058617612205733076,0.20765258147216661,4.037220239639282,0.058617612205733076,0.20765258147216661
0.91,0.21145033836364746,0.06747712240785501,0.22076172201330754,0.22302579879760742,0.0,3.074785202024547e-16,4.384747505187988,0.06801001436381629,0.22142929343137926,3.960197925567627,0.06801001436381629,0.22142929343137926
