Epsilon,TIME_DB_ANN,ARAND_DB_ANN,AMIS_DB_ANN,TIME_DBPK_ANN,ARAND_DBPK_ANN,AMIS_DBPK_ANN,TIME_DBPK,ARAND_DBPK,AMIS_DBPK,TIME_DB,ARAND_DB,AMIS_DB
0.01,0.05336570739746094,0.0,0.0,0.050823211669921875,0.0,0.0,0.17296934127807617,0.0,0.0,0.1506028175354004,0.0,0.0
0.21000000000000002,0.0518643856048584,0.0,0.0,0.05485367774963379,0.0,0.0,0.16307973861694336,0.0,0.0,0.16706156730651855,0.0,0.0
0.41000000000000003,0.059839487075805664,0.0,0.0,0.05086469650268555,0.0,0.0,0.20345520973205566,0.0,0.0,0.18201208114624023,0.0,0.0
0.6100000000000001,0.047872066497802734,0.04012467040046924,0.20096424730854376,0.04487967491149902,0.0,0.0,0.2014608383178711,0.04012467040046924,0.20096424730854376,0.1934823989868164,0.04012467040046924,0.20096424730854376
0.81,0.046875,0.34597724066547375,0.48182142171445985,0.04388284683227539,0.027165467761818655,0.22456786391515932,0.220412015914917,0.3415632997037655,0.47231744581438123,0.21991825103759766,0.3415632997037655,0.47231744581438123
1.01,0.047872304916381836,0.34840180779382285,0.4144449530455701,0.04343295097351074,0.13812344806420712,0.34170314399893786,0.24739289283752441,0.34840180779382285,0.4144449530455701,0.25531649589538574,0.34840180779382285,0.4144449530455701
1.2100000000000002,0.047872066497802734,0.004767116114674649,0.02618270496059788,0.04388236999511719,0.27550748232705097,0.38480570697364974,0.2745096683502197,0.004767116114674649,0.02618270496059788,0.27426624298095703,0.004767116114674649,0.02618270496059788
1.4100000000000001,0.04886913299560547,0.002872418228985612,0.03163370486392413,0.04388260841369629,0.191331490309627,0.2615765812639427,0.3012375831604004,0.002872418228985612,0.03163370486392413,0.3107271194458008,0.002872418228985612,0.03163370486392413
1.61,0.050371646881103516,0.001144238305800396,0.01880909443717221,0.04388284683227539,0.017952513278071416,0.07372359557565838,0.3236875534057617,0.001144238305800396,0.01880909443717221,0.3261275291442871,0.001144238305800396,0.01880909443717221
1.81,0.05086398124694824,0.0,2.606002038544052e-16,0.04388236999511719,0.012908474576271247,0.06448634523080204,0.3461174964904785,0.0,2.606002038544052e-16,0.3480691909790039,0.0,2.606002038544052e-16
2.01,0.04990839958190918,0.0,0.0,0.04479861259460449,0.010854670275889523,0.059175933805509194,0.3630704879760742,0.0,0.0,0.36748266220092773,0.0,0.0
2.21,0.04790902137756348,0.0,0.0,0.0468747615814209,0.002363958721643895,0.02892233956013231,0.385728120803833,0.0,0.0,0.3875119686126709,0.0,0.0
2.41,0.05086398124694824,0.0,0.0,0.04487967491149902,0.0005815422918891507,0.014003252732277446,0.4503459930419922,0.0,0.0,0.41289544105529785,0.0,0.0
2.61,0.049866437911987305,0.0,0.0,0.04502129554748535,0.0005734582614836168,0.012838622684447304,0.4314742088317871,0.0,0.0,0.4298095703125,0.0,0.0
2.81,0.05079317092895508,0.0,0.0,0.04587244987487793,0.0005734582614836168,0.012838622684447304,0.43790102005004883,0.0,0.0,0.44181323051452637,0.0,0.0
3.01,0.049015045166015625,0.0,0.0,0.04496335983276367,0.0011148730703736767,0.02586472766377885,0.44994306564331055,0.0,0.0,0.4817159175872803,0.0,0.0
3.21,0.048970699310302734,0.0,0.0,0.050013065338134766,0.0011148730703736767,0.02586472766377885,0.4657773971557617,0.0,0.0,0.46471500396728516,0.0,0.0
3.41,0.04987525939941406,0.0,0.0,0.04486393928527832,0.0011148730703736767,0.02586472766377885,0.4747152328491211,0.0,0.0,0.46451473236083984,0.0,0.0
3.61,0.05082225799560547,0.0,0.0,0.044846534729003906,0.0011148730703736767,0.02586472766377885,0.47232556343078613,0.0,0.0,0.46296215057373047,0.0,0.0
3.81,0.050910234451293945,0.0,0.0,0.04486656188964844,0.0011148730703736767,0.02586472766377885,0.46677494049072266,0.0,0.0,0.4628109931945801,0.0,0.0
4.01,0.04990267753601074,0.0,0.0,0.04879117012023926,0.0011148730703736767,0.02586472766377885,0.49001598358154297,0.0,0.0,0.4621131420135498,0.0,0.0
4.21,0.04904437065124512,0.0,0.0,0.04484272003173828,0.0011148730703736767,0.02586472766377885,0.46227192878723145,0.0,0.0,0.46869802474975586,0.0,0.0
4.41,0.05086326599121094,0.0,0.0,0.04388236999511719,0.0011148730703736767,0.02586472766377885,0.4484431743621826,0.0,0.0,0.4499776363372803,0.0,0.0
4.61,0.04842996597290039,0.0,0.0,0.045063018798828125,0.0011148730703736767,0.02586472766377885,0.4514961242675781,0.0,0.0,0.45540881156921387,0.0,0.0
4.8100000000000005,0.05198407173156738,0.0,0.0,0.04499101638793945,0.0011148730703736767,0.02586472766377885,0.47014689445495605,0.0,0.0,0.4488992691040039,0.0,0.0
5.01,0.05086350440979004,0.0,0.0,0.04575991630554199,0.0011148730703736767,0.02586472766377885,0.44467973709106445,0.0,0.0,0.44585728645324707,0.0,0.0
5.21,0.05090188980102539,0.0,0.0,0.04684019088745117,0.0011148730703736767,0.02586472766377885,0.44537353515625,0.0,0.0,0.44548559188842773,0.0,0.0
5.41,0.049788475036621094,0.0,0.0,0.04583430290222168,0.0011148730703736767,0.02586472766377885,0.4275028705596924,0.0,0.0,0.43184399604797363,0.0,0.0
5.61,0.048825979232788086,0.0,0.0,0.04487347602844238,0.0011148730703736767,0.02586472766377885,0.4199197292327881,0.0,0.0,0.42333149909973145,0.0,0.0
5.8100000000000005,0.05090808868408203,0.0,0.0,0.04401350021362305,0.0011148730703736767,0.02586472766377885,0.4123806953430176,0.0,0.0,0.41347789764404297,0.0,0.0
6.01,0.05086374282836914,0.0,0.0,0.04502081871032715,0.0011148730703736767,0.02586472766377885,0.3990633487701416,0.0,0.0,0.4050469398498535,0.0,0.0
6.21,0.05182957649230957,0.0,0.0,0.04691362380981445,0.0011148730703736767,0.02586472766377885,0.39186882972717285,0.0,0.0,0.39298439025878906,0.0,0.0
6.41,0.051889896392822266,0.0,0.0,0.0458066463470459,0.0011148730703736767,0.02586472766377885,0.40097689628601074,0.0,0.0,0.3870382308959961,0.0,0.0
6.61,0.049785614013671875,0.0,0.0,0.04566502571105957,0.0011148730703736767,0.02586472766377885,0.37903594970703125,0.0,0.0,0.375917911529541,0.0,0.0
6.8100000000000005,0.05090808868408203,0.0,0.0,0.04591178894042969,0.0011148730703736767,0.02586472766377885,0.3690192699432373,0.0,0.0,0.37198352813720703,0.0,0.0
7.01,0.04982447624206543,0.0,0.0,0.045883893966674805,0.0011148730703736767,0.02586472766377885,0.36103272438049316,0.0,0.0,0.3585014343261719,0.0,0.0
7.21,0.048861026763916016,0.0,0.0,0.04587531089782715,0.0011148730703736767,0.02586472766377885,0.34677696228027344,0.0,0.0,0.35431599617004395,0.0,0.0
7.41,0.05087089538574219,0.0,0.0,0.04491281509399414,0.0011148730703736767,0.02586472766377885,0.34811830520629883,0.0,0.0,0.34105539321899414,0.0,0.0
7.61,0.04990887641906738,0.0,0.0,0.04390573501586914,0.0011148730703736767,0.02586472766377885,0.33765244483947754,0.0,0.0,0.3318207263946533,0.0,0.0
7.8100000000000005,0.05041098594665527,0.0,0.0,0.045800209045410156,0.0011148730703736767,0.02586472766377885,0.32523012161254883,0.0,0.0,0.3281228542327881,0.0,0.0
8.01,0.049867868423461914,0.0,0.0,0.04487156867980957,0.0011148730703736767,0.02586472766377885,0.31717443466186523,0.0,0.0,0.3211328983306885,0.0,0.0
