Epsilon,TIME_DB_ANN,ARAND_DB_ANN,AMIS_DB_ANN,TIME_DBPK_ANN,ARAND_DBPK_ANN,AMIS_DBPK_ANN,TIME_DBPK,ARAND_DBPK,AMIS_DBPK,TIME_DB,ARAND_DB,AMIS_DB
1,0.5477204322814941,0.0,0.0,0.47875165939331055,0.0,0.0,1.8465633392333984,0.0,0.0,1.8666770458221436,0.0,0.0
11,0.5295829772949219,0.0,0.0,0.5792508125305176,0.0,0.0,1.7326912879943848,0.0,0.0,1.8576631546020508,0.0,0.0
21,0.6609413623809814,0.0,0.0,0.6821389198303223,0.0,0.0,1.8904857635498047,0.0,0.0,1.8977644443511963,0.0,0.0
31,0.55116868019104,0.0,0.0,0.4737207889556885,0.0,0.0,1.9355120658874512,0.0,0.0,2.1529712677001953,0.0,0.0
41,0.6431360244750977,0.0,0.0,0.48662638664245605,0.0,0.0,1.9954619407653809,0.0,0.0,2.0483343601226807,0.0,0.0
51,0.5242447853088379,0.0,0.0,0.6422836780548096,0.0,0.0,1.996532678604126,0.0,0.0,2.07230281829834,0.0,0.0
61,0.5617139339447021,0.0,0.0,0.5112581253051758,0.0,0.0,2.1720995903015137,0.0,0.0,2.0033555030822754,0.0,0.0
71,0.4935722351074219,0.0,0.0,0.4887351989746094,0.0,0.0,2.6170151233673096,0.0,0.0,2.4060046672821045,0.0,0.0
81,0.5272417068481445,0.0,0.0,0.4498450756072998,0.0,0.0,2.465651512145996,0.0,0.0,2.279618263244629,0.0,0.0
91,0.6014564037322998,0.0,0.0,0.5006623268127441,0.0,0.0,2.5248985290527344,0.0,0.0,2.4046339988708496,0.0,0.0
101,0.691875696182251,0.0,0.0,0.5206208229064941,0.0,0.0,2.4851911067962646,0.0,0.0,2.7324366569519043,0.0,0.0
111,0.5788295269012451,0.0,0.0,0.681143045425415,0.0,0.0,3.872185707092285,0.0,0.0,3.457874298095703,0.0,0.0
121,0.6871473789215088,0.0,0.0,0.5999212265014648,0.0,0.0,3.1890933513641357,0.0,0.0,2.817816734313965,0.0,0.0
131,0.547471284866333,0.0,0.0,0.5136265754699707,0.0,0.0,3.2237043380737305,0.0,0.0,3.333968162536621,0.0,0.0
141,0.5114140510559082,0.0,0.0,0.4956388473510742,0.0,0.0,2.8502259254455566,0.0,0.0,2.8101882934570312,0.0,0.0
151,0.492159366607666,0.0,0.0,0.4478023052215576,0.0,0.0,2.7068819999694824,0.0,0.0,2.707000494003296,0.0,0.0
161,0.4807894229888916,0.0,0.0,0.4437723159790039,0.0,0.0,2.7832183837890625,0.0,0.0,2.8274121284484863,0.0,0.0
171,0.47950053215026855,0.0,0.0,0.4398655891418457,0.0,0.0,2.863382339477539,0.0,0.0,2.886568307876587,0.0,0.0
181,0.48684191703796387,0.0,0.0,0.44864511489868164,0.0,0.0,3.054182291030884,0.0,0.0,3.1220450401306152,0.0,0.0
191,0.49898791313171387,0.0,0.0,0.4553864002227783,0.0,0.0,3.2881672382354736,0.0,0.0,3.202582597732544,0.0,0.0
201,0.48337292671203613,0.0,0.0,0.46873903274536133,0.0,0.0,3.321106195449829,0.0,0.0,3.438654661178589,0.0,0.0
211,0.5037269592285156,0.0,0.0,0.4727969169616699,0.0,0.0,4.152384042739868,0.0,0.0,3.853365898132324,0.0,0.0
221,0.5563168525695801,0.0,0.0,0.4927642345428467,0.0,0.0,3.5877604484558105,0.0,0.0,3.469033718109131,0.0,0.0
231,0.5213217735290527,0.0,0.0,0.44687724113464355,0.0,0.0,4.053408861160278,0.0,0.0,4.09771728515625,0.0,0.0
241,0.5918595790863037,0.0001256679188750578,0.010220221449894155,0.5340762138366699,0.0,0.0,3.843435525894165,0.0001256679188750578,0.010220221449894155,3.833223342895508,0.0001256679188750578,0.010220221449894155
251,0.5271093845367432,0.0007280974174404376,0.05901128428137474,0.468703031539917,0.0,0.0,4.344043016433716,0.0007280974174404376,0.05901128428137474,4.615633726119995,0.0007280974174404376,0.05901128428137474
261,0.5963447093963623,0.002442241000675272,0.10943278205631528,0.6354990005493164,0.0,0.0,4.428849220275879,0.002442241000675272,0.10943278205631528,4.590872526168823,0.002442241000675272,0.10943278205631528
271,0.6231129169464111,0.006899310019376267,0.13922511588954906,0.5874307155609131,0.00043986017782328684,0.028021277991837387,5.226163625717163,0.006899310019376267,0.13922511588954906,4.230717420578003,0.006899310019376267,0.13922511588954906
281,0.4889364242553711,0.015557087695823792,0.12214223025900534,0.47797346115112305,0.0005116013610586297,0.03462625041663111,4.456655979156494,0.01674691257570668,0.12373780380041663,4.56696081161499,0.01674691257570668,0.12373780380041663
291,0.546553373336792,0.009045017425863455,0.039663085953696144,0.4609830379486084,0.0011571821621208958,0.053790138138648434,5.138113737106323,0.009129939638089526,0.03974083094915182,5.375994682312012,0.009129939638089526,0.03974083094915182
301,0.5893855094909668,0.01192578845278787,0.03577477712612247,0.5198020935058594,0.002268117009001089,0.07843648905418518,5.6128318309783936,0.012703370596720066,0.03647646826140933,5.937286376953125,0.012703370596720066,0.03647646826140933
311,0.6386260986328125,0.018489960592260317,0.04164812384501426,0.5985097885131836,0.0025889214208392602,0.11046303533328188,6.644838809967041,0.022222814669858097,0.03951654624341098,6.0105321407318115,0.022222814669858097,0.03951654624341098
321,0.5690183639526367,0.019914344583197904,0.03830545922258557,0.5741918087005615,0.005096367827961464,0.13085450874890445,6.4042627811431885,0.021262305723665154,0.04279045194622231,5.060022592544556,0.021262305723665154,0.04279045194622231
331,0.5540726184844971,0.014664114587442708,0.03931904867831603,0.4443180561065674,0.009386827399973216,0.1540435385753351,5.374049425125122,0.015310638949132977,0.04058302618612617,5.239750146865845,0.015310638949132977,0.04058302618612617
341,0.5125100612640381,0.004984852800166905,0.011532275309043188,0.45781755447387695,0.016599663324920546,0.1737444681634025,5.526114225387573,0.004572136800731808,0.010897760321626652,5.355111837387085,0.004572136800731808,0.010897760321626652
351,0.5057542324066162,0.002130661178442335,0.008021420109507576,0.45178794860839844,0.027846263835484518,0.19506821507565517,5.753692150115967,0.0022814199476211845,0.008772981825297605,5.545038223266602,0.0022814199476211845,0.008772981825297605
361,0.5190427303314209,0.0014175463842247744,0.008760505097692996,0.45496201515197754,0.046990356986687215,0.16583572145964828,6.780905485153198,0.0014473805354733456,0.00898766757460544,5.769998788833618,0.0014473805354733456,0.00898766757460544
371,0.5241327285766602,0.00039112805173267774,0.0033610983302823152,0.4996209144592285,0.01015955064085826,0.055641354601716035,6.0584869384765625,0.0003600452362457226,0.0031487632708343837,6.1736695766448975,0.0003600452362457226,0.0031487632708343837
381,0.5301930904388428,8.853415888497168e-05,0.0012897274356484794,0.5076878070831299,0.013200597657559805,0.06638864449499993,6.428678035736084,0.0001099022543728075,0.0016636715215642838,6.279605150222778,0.0001099022543728075,0.0016636715215642838
391,0.5905022621154785,4.8490539323009075e-05,0.0009605900893520919,0.45482802391052246,0.011247051960827476,0.06276512620474337,7.163635015487671,7.098597508644186e-05,0.0015293374456521592,7.474998474121094,7.098597508644186e-05,0.0015293374456521592
401,0.5438086986541748,5.069050441880451e-07,0.00011620654493865946,0.46275949478149414,0.006314785635996875,0.01415979618911618,7.372963905334473,9.928997532605245e-06,0.0005124839191276402,6.581534385681152,9.928997532605245e-06,0.0005124839191276402
411,0.52596116065979,3.131117640195937e-05,0.0014551152267358227,0.4527854919433594,0.004504686009857052,0.013057943064968616,6.86388897895813,3.937732243131879e-05,0.0019603420321699177,6.898366212844849,3.937732243131879e-05,0.0019603420321699177
421,0.5394549369812012,1.4872959008704398e-05,0.0009503641460705288,0.4648001194000244,0.0006772048021844982,0.0013633632724200629,8.348328590393066,1.4872959008704398e-05,0.0009503641460705288,7.330397844314575,1.4872959008704398e-05,0.0009503641460705288
431,0.5596675872802734,1.4872959008704398e-05,0.0009503641460705288,0.4607267379760742,3.360866305291509e-05,7.7060755876167e-05,7.779670476913452,1.4872959008704398e-05,0.0009503641460705288,9.085717916488647,1.4872959008704398e-05,0.0009503641460705288
441,0.595944881439209,-5.3336944312650435e-06,-0.0008804973778480464,0.5275185108184814,-0.00022833214480419268,-0.0007833581552956684,7.983560085296631,-5.3336944312650435e-06,-0.0008804973778480464,8.639384269714355,-5.3336944312650435e-06,-0.0008804973778480464
451,0.6038322448730469,-5.3336944312650435e-06,-0.0008804973778480464,0.5293474197387695,-5.7809885861951274e-05,-0.00025328291915406104,9.10857367515564,-5.3336944312650435e-06,-0.0008804973778480464,10.152270078659058,-5.3336944312650435e-06,-0.0008804973778480464
461,0.6785447597503662,-6.48677253966754e-07,0.0002526453504832339,0.5743787288665771,9.698127660442841e-06,8.244683680258557e-05,10.022843837738037,-6.48677253966754e-07,0.0002526453504832339,10.09545087814331,-6.48677253966754e-07,0.0002526453504832339
471,0.6843013763427734,-1.992952317929814e-06,-7.427217919600935e-05,0.5855450630187988,-2.9410576984203902e-05,-0.00014753824430482229,9.808469295501709,-1.992952317929814e-06,-7.427217919600935e-05,9.285244226455688,-1.992952317929814e-06,-7.427217919600935e-05
481,0.6662025451660156,6.710101857990229e-07,0.00028826792823471715,0.5625162124633789,7.423111170143809e-05,0.0005740796355947,9.257690191268921,6.710101857990229e-07,0.00028826792823471715,8.472230911254883,6.710101857990229e-07,0.00028826792823471715
491,0.5356001853942871,6.710101857990229e-07,0.00028826792823471715,0.505631685256958,9.977896074705647e-05,0.0008497981888796635,8.755614280700684,6.710101857990229e-07,0.00028826792823471715,8.688003063201904,6.710101857990229e-07,0.00028826792823471715
501,0.5320250988006592,-6.665553505532806e-07,-0.0002488773732996538,0.46083545684814453,0.0004953053840061681,0.005789818358323428,8.866828441619873,-6.665553505532806e-07,-0.0002488773732996538,8.885003089904785,-6.665553505532806e-07,-0.0002488773732996538
511,0.5429487228393555,0.0,0.0,0.4601118564605713,0.0005556044204417246,0.0070904940422152184,9.32192850112915,0.0,0.0,9.702525615692139,0.0,0.0
521,0.5694241523742676,0.0,0.0,0.5256283283233643,0.0005748066417410758,0.008352023552872182,9.71945071220398,0.0,0.0,9.501565933227539,0.0,0.0
531,0.5548548698425293,0.0,0.0,0.4619896411895752,0.0005681030181072617,0.009884399676603069,9.73509168624878,0.0,0.0,10.012631893157959,0.0,0.0
541,0.5503711700439453,0.0,0.0,0.5051982402801514,0.0004781175133195735,0.008976269846385467,10.988995790481567,0.0,0.0,12.412832498550415,0.0,0.0
551,0.6933209896087646,0.0,0.0,0.5595333576202393,0.0004532474681915938,0.008711666475999644,12.609717607498169,0.0,0.0,13.237266540527344,0.0,0.0
561,0.7709884643554688,0.0,0.0,0.5897402763366699,0.0004221209151832475,0.008338627816513735,11.736149787902832,0.0,0.0,11.484504222869873,0.0,0.0
571,0.5695080757141113,0.0,0.0,0.4750828742980957,0.0004221209151832475,0.008338627816513735,12.055575609207153,0.0,0.0,11.0387544631958,0.0,0.0
581,0.535625696182251,0.0,0.0,0.4686739444732666,0.0004221209151832475,0.008338627816513735,12.31541132926941,0.0,0.0,11.624701499938965,0.0,0.0
591,0.5604970455169678,0.0,0.0,0.4686295986175537,0.0004210844081531025,0.008323617788118567,11.94098162651062,0.0,0.0,13.469364404678345,0.0,0.0
601,0.6420066356658936,0.0,0.0,0.5479075908660889,0.00042491934057448496,0.008380010764076863,14.795535564422607,0.0,0.0,13.640551805496216,0.0,0.0
611,0.5546755790710449,0.0,0.0,0.47196531295776367,0.0004113528924314583,0.008203971171909992,13.332555055618286,0.0,0.0,13.934812545776367,0.0,0.0
621,0.5997428894042969,0.0,0.0,0.48470187187194824,0.0004113528924314583,0.008203971171909992,12.925702333450317,0.0,0.0,12.532495498657227,0.0,0.0
631,0.5507583618164062,0.0,0.0,0.4673733711242676,0.0004113528924314583,0.008203971171909992,13.971240758895874,0.0,0.0,14.183918714523315,0.0,0.0
641,0.5475993156433105,0.0,0.0,0.5023801326751709,0.0004113528924314583,0.008203971171909992,13.408605575561523,0.0,0.0,13.168309450149536,0.0,0.0
651,0.5671288967132568,0.0,0.0,0.4969649314880371,0.0004113528924314583,0.008203971171909992,13.989733457565308,0.0,0.0,14.800553321838379,0.0,0.0
661,0.6444494724273682,0.0,0.0,0.5425200462341309,0.0004113528924314583,0.008203971171909992,15.141658067703247,0.0,0.0,14.206628322601318,0.0,0.0
671,0.5545945167541504,0.0,0.0,0.49432849884033203,0.00033367282110907263,0.00722763639129434,16.295063257217407,0.0,0.0,14.468357801437378,0.0,0.0
681,0.5786557197570801,0.0,0.0,0.4781780242919922,0.00033367282110907263,0.00722763639129434,15.668346643447876,0.0,0.0,15.596911430358887,0.0,0.0
691,0.5955915451049805,0.0,0.0,0.4853849411010742,0.00033367282110907263,0.00722763639129434,16.080322742462158,0.0,0.0,15.47096872329712,0.0,0.0
701,0.5860347747802734,0.0,0.0,0.48769569396972656,0.00033367282110907263,0.00722763639129434,17.769171953201294,0.0,0.0,19.341275691986084,0.0,0.0
711,0.6498231887817383,0.0,0.0,0.53536057472229,0.00033367282110907263,0.00722763639129434,18.495177745819092,0.0,0.0,17.54617428779602,0.0,0.0
721,0.8097560405731201,0.0,0.0,0.6059930324554443,0.00033367282110907263,0.00722763639129434,19.975040674209595,0.0,0.0,19.594331979751587,0.0,0.0
731,0.9289724826812744,0.0,0.0,0.5664076805114746,0.00033367282110907263,0.00722763639129434,19.123060941696167,0.0,0.0,18.538896083831787,0.0,0.0
741,0.7559030055999756,0.0,0.0,0.6534719467163086,0.00033367282110907263,0.00722763639129434,20.2432758808136,0.0,0.0,21.321362495422363,0.0,0.0
751,0.7118000984191895,0.0,0.0,0.5600812435150146,0.00033367282110907263,0.00722763639129434,18.651146173477173,0.0,0.0,19.464634656906128,0.0,0.0
761,0.5782027244567871,0.0,0.0,0.4747934341430664,0.00033367282110907263,0.00722763639129434,19.073108911514282,0.0,0.0,18.074294805526733,0.0,0.0
