factor,n_clusters_db,n_noise_db,acc_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.1,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.3646817207336426,10.0,780.0,0.24559878287328843,0.1262361120932048,0.08291649917213412,12.734059810638428,11.0,690.0,0.25820473810041294,0.11925031032603096,0.07949727566959298,2.2230374813079834
0.2,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.351879358291626,9.0,672.0,0.2686372527711367,0.11783586882652985,0.0882885508915883,24.34954047203064,9.0,584.0,0.2788524233862204,0.10656386735875881,0.07877534029538363,9.849646806716919
0.30000000000000004,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.35532522201538086,9.0,610.0,0.2755922625516192,0.11028772722659082,0.08218735573739612,34.50985503196716,10.0,572.0,0.2788524233862204,0.10712253287671944,0.08272790516983604,21.193841695785522
0.4,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.3604912757873535,12.0,594.0,0.2738535101064986,0.11182752514660131,0.08451966625686153,47.80015754699707,10.0,568.0,0.27906976744186046,0.10675813281872526,0.08232702691263928,34.911723613739014
0.5,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.3568079471588135,9.0,601.0,0.2764616387741795,0.10984034912844581,0.08202796105552865,60.128880977630615,11.0,557.0,0.27906976744186046,0.10665774526772087,0.08146554764125599,48.388710260391235
0.6,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.3661501407623291,11.0,569.0,0.27841773527494024,0.10797434200489177,0.08274827490957763,69.65463471412659,11.0,555.0,0.27906976744186046,0.10721340094339403,0.08214669189783426,62.24298930168152
0.7000000000000001,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.3504774570465088,10.0,583.0,0.2782003912193001,0.10788850832843651,0.08049090755172898,82.18013763427734,11.0,555.0,0.27906976744186046,0.10721340094339403,0.08214669189783426,79.02201080322266
0.8,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.3559994697570801,11.0,553.0,0.2792871114975005,0.10684245243973009,0.08194500309129259,93.20353674888611,11.0,554.0,0.27906976744186046,0.10717159583676808,0.08219084794282587,96.72172498703003
0.9,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.36980581283569336,10.0,566.0,0.27950445555314063,0.10604656844014934,0.07756981583966689,106.47087788581848,11.0,552.0,0.27950445555314063,0.10651366058400381,0.08169943162710648,108.57532405853271
1.0,12.0,536.0,0.5705281460552054,0.10538766677110359,0.0809662311974313,0.35166144371032715,11.0,552.0,0.27950445555314063,0.10651366058400381,0.08169943162710648,116.92032146453857,11.0,552.0,0.27950445555314063,0.10651366058400381,0.08169943162710648,117.16568660736084
