factor,n_clusters_db,n_noise_db,acc_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.1,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0012164115905761719,4.0,50.0,0.23595505617977527,0.20430089849389196,0.32463144189865456,0.014028549194335938,8.0,33.0,0.0898876404494382,0.14856774634867106,0.2693696859839201,0.01634049415588379
0.2,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0011036396026611328,4.0,19.0,0.47191011235955055,0.2785492960916405,0.36315799517200553,0.028595447540283203,4.0,15.0,0.5,0.2917219165796528,0.3791846608130747,0.03545427322387695
0.30000000000000004,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0011909008026123047,3.0,22.0,0.4606741573033708,0.2012747438549612,0.33021302580130096,0.04413008689880371,3.0,14.0,0.5112359550561798,0.24370554021162247,0.3793800063712217,0.05209517478942871
0.4,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0011773109436035156,4.0,17.0,0.47752808988764045,0.28529671002732043,0.372761537074343,0.05783963203430176,3.0,14.0,0.5112359550561798,0.24370554021162247,0.3793800063712217,0.07098197937011719
0.5,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0011589527130126953,3.0,16.0,0.4943820224719101,0.2243902400151404,0.3573104911564796,0.07440304756164551,3.0,14.0,0.5112359550561798,0.24370554021162247,0.3793800063712217,0.08820819854736328
0.6,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0011408329010009766,3.0,15.0,0.5,0.2224578136278359,0.3538252613912709,0.08678746223449707,3.0,13.0,0.5112359550561798,0.23322766060407973,0.36912288931452825,0.10420441627502441
0.7000000000000001,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.001195669174194336,3.0,17.0,0.4887640449438202,0.21893203673205552,0.3499637468858175,0.09987068176269531,3.0,13.0,0.5112359550561798,0.23322766060407973,0.36912288931452825,0.12247157096862793
0.8,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0011417865753173828,3.0,14.0,0.5056179775280899,0.23151432286426307,0.3677018679588916,0.11499881744384766,3.0,13.0,0.5112359550561798,0.23322766060407973,0.36912288931452825,0.14206218719482422
0.9,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0011487007141113281,3.0,13.0,0.5112359550561798,0.23322766060407973,0.36912288931452825,0.12821745872497559,3.0,13.0,0.5112359550561798,0.23322766060407973,0.36912288931452825,0.16035962104797363
1.0,3.0,13.0,0.07303370786516854,0.23322766060407973,0.36912288931452825,0.0011949539184570312,3.0,13.0,0.5112359550561798,0.23322766060407973,0.36912288931452825,0.14349794387817383,3.0,13.0,0.5112359550561798,0.23322766060407973,0.36912288931452825,0.14218950271606445
