factor,n_clusters_db,n_noise_db,acc_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.1,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008456707000732422,2.0,49.0,0.0,0.0006779786453739973,0.004836666382145932,0.09798669815063477,2.0,50.0,0.0,0.0006676994594161948,0.00480348907646532,0.07257890701293945
0.2,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008406639099121094,3.0,34.0,0.0,0.0010828782540886852,0.00611575512816929,0.20285487174987793,3.0,37.0,0.0,0.0010332236152299028,0.0060026674165905205,0.16550445556640625
0.30000000000000004,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.000820159912109375,3.0,29.0,0.0,0.0010424721971810525,0.00602775897348943,0.31634521484375,3.0,34.0,0.0,0.0010828782540886852,0.00611575512816929,0.2594773769378662
0.4,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008184909820556641,3.0,34.0,0.0,0.0010828782540886852,0.00611575512816929,0.3730316162109375,3.0,34.0,0.0,0.0010828782540886852,0.00611575512816929,0.34366273880004883
0.5,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008223056793212891,3.0,33.0,0.0,0.001083972243980789,0.006117957343052424,0.4456794261932373,3.0,34.0,0.0,0.0010828782540886852,0.00611575512816929,0.43155360221862793
0.6,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008673667907714844,3.0,33.0,0.0,0.001083972243980789,0.006117957343052424,0.5497093200683594,3.0,28.0,0.0,0.0010570991805898867,0.0060629689592162205,0.5195024013519287
0.7000000000000001,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008206367492675781,3.0,33.0,0.0,0.001083972243980789,0.006117957343052424,0.6272106170654297,3.0,28.0,0.0,0.0010570991805898867,0.0060629689592162205,0.5217094421386719
0.8,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008311271667480469,3.0,28.0,0.0,0.0010570991805898867,0.0060629689592162205,0.720905065536499,3.0,28.0,0.0,0.0010570991805898867,0.0060629689592162205,0.5293276309967041
0.9,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008039474487304688,3.0,28.0,0.0,0.0010570991805898867,0.0060629689592162205,0.8276536464691162,3.0,28.0,0.0,0.0010570991805898867,0.0060629689592162205,0.527338981628418
1.0,4.0,18.0,0.0,0.0012756398141286214,0.006727005669064252,0.0008220672607421875,3.0,28.0,0.0,0.0010570991805898867,0.0060629689592162205,0.9225854873657227,3.0,28.0,0.0,0.0010570991805898867,0.0060629689592162205,0.9247181415557861
