factor,n_clusters_db,n_noise_db,acc_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,acc_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,acc_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
0.1,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.031369924545288086,11.0,1401.0,0.095,0.03262515066345656,0.20049232690010912,0.4406106472015381,19.0,1689.0,0.01,0.005134392536400359,0.1387997622954793,0.4449934959411621
0.2,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.03072381019592285,5.0,1069.0,0.129,0.011040333861595303,0.046834965385146206,0.8423328399658203,8.0,1406.0,0.129,0.030653039258175602,0.1399016504391939,0.9057576656341553
0.30000000000000004,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.03069019317626953,5.0,1007.0,0.14,0.02486845032679081,0.0478738483518431,1.2535321712493896,4.0,1227.0,0.1295,0.020480176171616068,0.04653088389466111,1.3582897186279297
0.4,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.030719518661499023,5.0,864.0,0.1475,0.024803164040799432,0.04464201029575122,1.6931722164154053,4.0,1057.0,0.137,0.024579168100579914,0.04020933603530702,1.828087568283081
0.5,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.032318115234375,4.0,779.0,0.1595,0.019149789839582827,0.037300904822524905,2.1977930068969727,4.0,857.0,0.156,0.0216476696121694,0.03748010123513104,2.3359627723693848
0.6,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.03198075294494629,3.0,696.0,0.1715,0.023191326332286145,0.03468704822592275,2.629316806793213,3.0,751.0,0.1805,0.023782337966001866,0.04098510447919454,2.8424155712127686
0.7000000000000001,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.030973196029663086,3.0,684.0,0.172,0.01546482261055242,0.025414976070602724,3.0128679275512695,5.0,681.0,0.178,0.026038939680965777,0.054647663920574956,3.4085371494293213
0.8,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.031220674514770508,5.0,633.0,0.1725,0.025302550385652336,0.057254844240779444,3.3830461502075195,4.0,643.0,0.178,0.022854607801331736,0.04211971127225192,3.8074615001678467
0.9,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.031167268753051758,4.0,603.0,0.1775,0.021082064860854125,0.0425895291040696,3.9795403480529785,4.0,605.0,0.1795,0.02332749692032986,0.04498236911218125,4.533677577972412
1.0,10.0,424.0,0.206,0.009996120418872314,0.06161509667334741,0.031829118728637695,4.0,589.0,0.1805,0.02095410929399608,0.042908290235757124,4.275380611419678,4.0,589.0,0.1805,0.02095410929399608,0.042908290235757124,4.272269010543823
